X1,X2,X3,X4,Time
715386,2,2040565,1127892,1214261
715846,2,2040565,1127929,1214261
718966,2,2040565,1127937,1214261
727397,2,2040565,1128031,1214261
717363,2,2040565,1128167,1214261
712252,2,2040565,1128216,1214261
1963161,2,2040565,1128398,1214261
713929,2,2040565,1128678,1214261
721010,2,2040565,1128900,1214261
713876,2,2040565,1128932,1214261
712834,2,2040565,1128971,1214261
714301,2,2040565,1129177,1214261
723840,2,2040565,1129395,1214261
713294,2,2040565,1129534,1214261
713378,2,2040565,1129761,1214261
712049,2,2040565,1129762,1214261
722345,2,2040565,1129856,1214261
715325,2,2040565,1129911,1214261
714846,2,2040565,1130014,1214261
717942,2,2040565,1130078,1214261
716731,2,2040565,1130152,1214261
713968,2,2040565,1130223,1214261
711981,2,2040565,1130233,1214261
725620,2,2040565,1130358,1214261
718954,2,2040565,1130460,1214261
717464,2,2040565,1130551,1214261
703525,2,2040565,1130777,1214261
714896,2,2040565,1130939,1214261
703905,2,2040565,1131160,1214261
713005,2,2040565,1131220,1214261
710631,2,2040565,1131414,1214261
710193,2,2040565,1131687,1214261
710133,2,2040565,1131700,1214261
728883,2,2040565,1131718,1214261
728152,2,2040565,1131864,1214261
703594,2,2040565,1131913,1214261
728833,2,2040565,1132120,1214261
727620,2,2040565,1132188,1214261
713468,2,2040565,1132339,1214261
712795,2,2040565,1132375,1214261
715883,2,2040565,1132470,1214261
703326,2,2040565,1132493,1214261
713701,2,2040565,1132545,1214261
714350,2,2040565,1132558,1214261
713909,2,2040565,1132755,1214261
715272,2,2040565,1132761,1214261
713159,2,2040565,1132865,1214261
720087,2,2040565,1132890,1214261
709509,2,2040565,1133021,1214261
710690,2,2040565,1133064,1214261
709223,2,2040565,1133099,1214261
714258,2,2040565,1133185,1214261
715058,2,2040565,1133285,1214261
715679,2,2040565,1133312,1214261
721287,2,2040565,1133506,1214261
713814,2,2040565,1133644,1214261
711040,2,2040565,1133736,1214261
713366,2,2040565,1133742,1214261
707902,2,2040565,1133954,1214261
711718,2,2040565,1134010,1214261
728929,2,2040565,1134044,1214261
724222,2,2040565,1134346,1214261
713736,2,2040565,1134357,1214261
712259,2,2040565,1134456,1214261
713947,2,2040565,1134585,1214261
1981017,2,2040565,1134607,1214261
719990,2,2040565,1134749,1214261
713214,2,2040565,1134793,1214261
713919,2,2040565,1134807,1214261
717859,2,2040565,1134831,1214261
720152,2,2040565,1134869,1214261
715795,2,2040565,1135014,1214261
723482,2,2040565,1135340,1214261
712997,2,2040565,1135605,1214261
713725,2,2040565,1135637,1214261
710525,2,2040565,1135661,1214261
728958,2,2040565,1135764,1214261
707590,2,2040565,1135803,1214261
715386,2,2040565,1135951,1214261
707996,2,2040565,1136021,1214261
717025,2,2040565,1136082,1214261
714007,2,2040565,1136137,1214261
717459,2,2040565,1136342,1214261
711247,2,2040565,1136430,1214261
713997,2,2040565,1136457,1214261
727060,2,2040565,1136464,1214261
713489,2,2040565,1136598,1214261
718541,2,2040565,1136603,1214261
711711,2,2040565,1136674,1214261
725710,2,2040565,1136774,1214261
711264,2,2040565,1137105,1214261
716375,2,2040565,1137400,1214261
721772,2,2040565,1137507,1214261
713468,2,2040565,1137599,1214261
721924,2,2040565,1137905,1214261
311296,2,2040565,1138016,1214261
723493,2,2040565,1138108,1214261
706381,2,2040565,1138115,1214261
713639,2,2040565,1138227,1214261
713194,2,2040565,1138444,1214261
711188,2,2040565,1138749,1214261
713639,2,2040565,1138886,1214261
713855,2,2040565,1139053,1214261
713989,2,2040565,1139103,1214261
720756,2,2040565,1139182,1214261
713701,2,2040565,1139212,1214261
714401,2,2040565,1139223,1214261
718019,2,2040565,1139553,1214261
703490,2,2040565,1139627,1214261
727069,2,2040565,1139678,1214261
712841,2,2040565,1139714,1214261
713307,2,2040565,1140022,1214261
712049,2,2040565,1140267,1214261
709995,2,2040565,1140578,1214261
704768,2,2040565,1141097,1214261
711600,2,2040565,1141350,1214261
708593,2,2040565,1141371,1214261
706775,2,2040565,1141492,1214261
713474,2,2040565,1141743,1214261
713336,2,2040565,1141786,1214261
717845,2,2040565,1141985,1214261
708892,2,2040565,1142008,1214261
1256646,2,2040565,1142021,1214261
723438,2,2040565,1142399,1214261
707225,2,2040565,1142604,1214261
729080,2,2040565,1142631,1214261
715743,2,2040565,1142881,1214261
709115,2,2040565,1142943,1214261
716611,2,2040565,1143123,1214261
711872,2,2040565,1143158,1214261
714386,2,2040565,1143167,1214261
724680,2,2040565,1143275,1214261
713855,2,2040565,1143555,1214261
729100,2,2040565,1143661,1214261
713639,2,2040565,1143809,1214261
713701,2,2040565,1143830,1214261
705094,2,2040565,1144117,1214261
712612,2,2040565,1144365,1214261
706185,2,2040565,1144402,1214261
715198,2,2040565,1144418,1214261
714027,2,2040565,1144473,1214261
725999,2,2040565,1144518,1214261
713767,2,2040565,1144519,1214261
714456,2,2040565,1144537,1214261
711872,2,2040565,1144567,1214261
714378,2,2040565,1144597,1214261
709443,2,2040565,1144642,1214261
713989,2,2040565,1144713,1214261
712547,2,2040565,1144840,1214261
729115,2,2040565,1144948,1214261
715343,2,2040565,1145026,1214261
727991,2,2040565,1145139,1214261
721944,2,2040565,1145184,1214261
715205,2,2040565,1145259,1214261
723260,2,2040565,1145360,1214261
713138,2,2040565,1145395,1214261
709685,2,2040565,1145736,1214261
703468,2,2040565,1146045,1214261
719356,2,2040565,1146189,1214261
713473,2,2040565,1146541,1214261
713929,2,2040565,1146651,1214261
705874,2,2040565,1146774,1214261
714781,2,2040565,1146838,1214261
722741,2,2040565,1146870,1214261
715471,2,2040565,1147049,1214261
709622,2,2040565,1147247,1214261
727017,2,2040565,1147354,1214261
714929,2,2040565,1147445,1214261
711756,2,2040565,1147450,1214261
713336,2,2040565,1147501,1214261
712927,2,2040565,1147623,1214261
717513,2,2040565,1147848,1214261
713909,2,2040565,1147880,1214261
723169,2,2040565,1147928,1214261
713958,2,2040565,1148351,1214261
729153,2,2040565,1148449,1214261
723214,2,2040565,1148508,1214261
707622,2,2040565,1148523,1214261
712726,2,2040565,1148634,1214261
725869,2,2040565,1148788,1214261
713173,2,2040565,1148944,1214261
