1108217,1,51780,21771533
696047,1,234164,32164733
728286,1,387200,55957133
1108217,1,387200,23081933
1108217,1,387200,60855533
857138,1,387676,17138333
1023940,1,387676,62444333
1642962,1,387676,24889133
1663285,1,387676,81481133
1642962,1,505444,19179533
1108217,1,623027,27437933
234164,1,696047,57814733
728286,1,696047,51604733
969089,1,696047,40322333
1642962,1,696047,23409533
1886447,1,696047,33745133
387200,1,728286,49538333
696047,1,728286,20245133
1847246,1,728286,74356423
1847246,1,728286,74556423
387676,1,857138,64312733
969089,1,857138,20795933
1690582,1,857138,20417933
1847246,1,857138,24151133
696047,1,969089,22163933
857138,1,969089,21512333
387676,1,1023940,18423533
857138,1,1023940,33647933
1642962,1,1023940,23351933
51780,1,1039322,16483133
387200,1,1039322,32301533
1108217,1,1039322,19384733
623027,1,1108217,21789533
696047,1,1108217,79972733
728286,1,1108217,15759533
728286,1,1108217,30789533
728286,1,1108217,33874733
728286,1,1108217,33946733
1039322,1,1108217,23607533
1663285,1,1108217,71563233
1690582,1,1108217,40030733
1847246,1,1108217,16202333
387676,1,1642962,16969133
696047,1,1642962,35426333
1023940,1,1642962,20065133
1663285,1,1642962,35559533
1690582,1,1642962,16954733
387676,1,1663285,19625933
1023940,1,1663285,15806333
857138,1,1690582,34223933
1039322,1,1690582,15536333
1847246,1,1690582,27157133
728286,1,1847246,74061123
728286,1,1847246,74069853
857138,1,1847246,16501133
1108217,1,1847246,16112333
1690582,1,1847246,18391133
1690582,1,1847246,18445133
1690582,1,1847246,26123933
387200,1,1886447,32780333
696047,1,1886447,47572733
